game_pk,home_Team,away_Team,home_game_date,away_game_date,home_sp_mlbam,away_sp_mlbam,home_roll5_win_pct,home_roll5_runs_scored,home_roll5_runs_allowed,home_roll5_run_diff,away_roll5_win_pct,away_roll5_runs_scored,away_roll5_runs_allowed,away_roll5_run_diff,home_sp_roll3_velocity,home_sp_roll3_woba,home_sp_roll3_xwoba,home_sp_roll3_k_percent,home_sp_roll3_bb_percent,away_sp_roll3_velocity,away_sp_roll3_woba,away_sp_roll3_xwoba,away_sp_roll3_k_percent,away_sp_roll3_bb_percent,home_win_pct_to_date,away_win_pct_to_date,home_home_games_before,home_home_wins_before,home_home_win_pct_to_date,away_away_games_before,away_away_wins_before,away_away_win_pct_to_date,home_days_since_last_game,away_days_since_last_game,home_park_factor,away_park_factor
745169,STL,COL,2024-06-07,2024-06-07,458681.0,596295.0,0.4,4.0,4.8,-0.7999999999999998,0.2,2.8,7.0,-4.2,89.59999999999998,0.228,0.2876666666666667,20.900000000000002,7.333333333333333,84.66666666666667,0.29333333333333333,0.316,19.0,9.033333333333333,0.4727272727272727,0.36363636363636365,23,11.0,0.4782608695652174,28,8.0,0.2857142857142857,1.0,1.0,0.96,1.35
745170,STL,PIT,2024-06-11,2024-06-11,571945.0,694973.0,0.6,4.8,3.4,1.4,0.6,5.8,5.6,0.20000000000000018,89.10000000000001,0.284,0.29766666666666663,20.866666666666667,4.466666666666666,94.7,0.378,0.253,34.8,4.3,0.4827586206896552,0.47692307692307695,26,13.0,0.5,32,15.0,0.46875,2.0,2.0,0.96,0.93
745171,STL,PIT,2024-06-12,2024-06-12,543243.0,663559.0,0.4,4.2,3.4,0.8000000000000003,0.6,4.2,4.6,-0.39999999999999947,87.63333333333333,0.222,0.27233333333333337,37.63333333333333,14.699999999999998,88.53333333333335,0.32233333333333336,0.33499999999999996,21.8,7.400000000000001,0.4745762711864407,0.48484848484848486,27,13.0,0.48148148148148145,33,16.0,0.48484848484848486,1.0,1.0,0.96,0.93
745172,STL,CHC,2024-05-26,2024-05-26,543243.0,665871.0,0.8,4.8,5.0,-0.20000000000000018,0.2,2.8,5.0,-2.2,88.33333333333333,0.371,0.33866666666666667,27.733333333333334,6.666666666666667,88.66666666666667,0.29433333333333334,0.298,22.366666666666664,11.700000000000001,0.4772727272727273,0.5102040816326531,21,10.0,0.47619047619047616,23,10.0,0.43478260869565216,1.0,1.0,0.96,1.03
745173,STL,BAL,2024-05-22,2024-05-22,502043.0,607644.0,0.8,5.8,4.6,1.2000000000000002,0.4,4.4,3.6,0.8000000000000003,86.93333333333334,0.3506666666666667,0.39199999999999996,18.966666666666665,12.066666666666668,84.75,0.208,0.2825,25.75,0.0,0.4523809523809524,0.627906976744186,19,8.0,0.42105263157894735,19,12.0,0.631578947368421,1.0,1.0,0.96,0.91
745174,STL,COL,2024-06-06,2024-06-06,543243.0,615698.0,0.4,3.8,5.4,-1.6000000000000005,0.0,2.4,7.4,-5.0,87.63333333333334,0.222,0.236,38.0,10.933333333333332,88.36666666666667,0.30866666666666664,0.30666666666666664,21.2,7.566666666666666,0.48148148148148145,0.35185185185185186,22,11.0,0.5,27,7.0,0.25925925925925924,1.0,1.0,0.96,1.35
745175,STL,CHC,2024-07-13,2024-07-13,458681.0,669713.0,0.0,4.2,7.4,-3.2,1.0,6.2,0.6,5.6000000000000005,91.0,0.3446666666666667,0.4383333333333333,19.8,7.666666666666667,89.0,0.26866666666666666,0.329,28.733333333333334,8.066666666666668,0.5172413793103449,0.4782608695652174,43,23.0,0.5348837209302325,47,19.0,0.40425531914893614,1.0,1.0,0.96,1.03
745176,STL,CHC,2024-05-25,2024-05-25,571945.0,592791.0,0.8,4.8,4.2,0.5999999999999996,0.4,1.8,3.6,-1.8,88.3,0.3243333333333333,0.32899999999999996,15.566666666666668,5.766666666666667,87.36666666666666,0.32866666666666666,0.3203333333333333,19.366666666666664,10.399999999999999,0.46511627906976744,0.5208333333333334,20,9.0,0.45,22,10.0,0.45454545454545453,3.0,2.0,0.96,1.03
745177,STL,BOS,2024-05-18,2024-05-18,571945.0,676710.0,0.8,6.6,5.4,1.1999999999999993,0.2,4.4,6.0,-1.5999999999999996,87.5,0.35999999999999993,0.33466666666666667,13.866666666666667,4.0,87.16666666666667,0.293,0.3033333333333333,23.433333333333334,6.5,0.42105263157894735,0.4888888888888889,15,5.0,0.3333333333333333,22,12.0,0.5454545454545454,1.0,1.0,0.96,1.06
745178,STL,BOS,2024-05-17,2024-05-17,502043.0,678394.0,0.6,5.2,5.2,0.0,0.4,3.8,4.4,-0.6000000000000005,86.63333333333333,0.2806666666666667,0.33466666666666667,26.366666666666664,10.833333333333334,89.39999999999999,0.26033333333333336,0.318,23.966666666666665,9.433333333333332,0.40540540540540543,0.5,14,4.0,0.2857142857142857,21,12.0,0.5714285714285714,2.0,1.0,0.96,1.06
745179,STL,BOS,2024-05-19,2024-05-19,669461.0,601713.0,0.8,7.2,5.2,2.0,0.2,4.2,6.4,-2.2,91.65,0.3775,0.382,21.200000000000003,6.65,89.2,0.3773333333333333,0.3456666666666666,20.099999999999998,3.4333333333333336,0.4358974358974359,0.4782608695652174,16,6.0,0.375,23,12.0,0.5217391304347826,1.0,1.0,0.96,1.06
745180,STL,BAL,2024-05-21,2024-05-21,458681.0,680694.0,0.6,5.6,5.8,-0.20000000000000018,0.6,4.8,3.4,1.4,89.46666666666665,0.35966666666666663,0.3323333333333333,21.333333333333332,10.633333333333333,91.13333333333333,0.3016666666666667,0.24466666666666667,27.13333333333333,9.9,0.43902439024390244,0.6428571428571429,18,7.0,0.3888888888888889,18,12.0,0.6666666666666666,1.0,1.0,0.96,0.91
